"Manufacturer","Model","SKU","Description","Finish","Diameter","Width","Bolt Pattern","Offset","Backspace","GTIN","Bore","Lugs","Lug Type","Max Load lbs","Cost","AC-EDM","AC-OAK","MAP","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6"
"GT OFFROAD","STRIKE","GT92096139712GBML","STRIKE 20x9 6x139.7 12 Gloss Black Milled","Gloss Black Milled","20","9","6x139.7","12","5.5","","106.1","6","2500","2500","247.5","45","4","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/a44a2db4-8b49-4aa3-9e51-6ba048324bd6.png","","","","",""
"GT OFFROAD","STRIKE","GT9524127443","STRIKE 24x12 8x180 -44 Polished","Polished","24","12","8x180","-44","4.75","","125.2","8","3200","3200","423.75","4","0","565","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/effb6b10-aac8-4999-8150-aaa67ed2f162.png","","","","",""
"GT OFFROAD","AGGRESSION","GT820905139712GBML","AGGRESSION 20x9 5x139.7 12 Gloss Black Milled","Gloss Black Milled","20","9","5x139.7","12","5.5","","108.1","0","","2500","247.5","74","4","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/c52a8181-ffac-4288-8be2-832203941547.png","","","","",""
"GT OFFROAD","STRIKE","GT92210818018GBML","STRIKE 22x10 8x180 -18 Gloss Black Milled","Gloss Black Milled","22","10","8x180","-18","4.75","","125.2","8","3200","3200","281.25","23","0","375","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/a44a2db4-8b49-4aa3-9e51-6ba048324bd6.png","","","","",""
"GT OFFROAD","STRIKE","GT9424126443","STRIKE 24x12 8x170 -44 Gloss Black","Gloss Black","24","12","8x170","-44","4.75","","125.2","8","3200","3200","335.25","64","0","447","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/eb46943e-c446-43a8-a715-64b23a9c95bf.png","","","","",""
"GT OFFROAD","STRIKE","GT9722105183","STRIKE 22x10 8x165.1 -18 Chrome","Chrome","22","10","8x165.1","-18","4.75","","125.2","8","3200","3200","346.5","85","-4","462","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","STRIKE","GT9722107183","STRIKE 22x10 8x180 -18 Chrome","Chrome","22","10","8x180","-18","4.75","","125.2","8","3200","3200","346.5","7","0","462","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","INVASION","GT72096139712GBML","INVASION 20x9 6x139.7 12 Gloss Black Milled","Gloss Black Milled","20","9","6x139.7","12","5.5","","106.1","6","","2500","247.5","16","-4","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4f5ca8ef-0037-4f7a-9122-d92005cfa6f1.png","","","","",""
"GT OFFROAD","STRIKE","GT9526127443","STRIKE 26x12 8x180 -44 Polished","Polished","26","12","8x180","-44","4.75","","125.2","8","3200","3200","525","20","4","700","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/effb6b10-aac8-4999-8150-aaa67ed2f162.png","","","","",""
"GT OFFROAD","STARK","GT12720961122","STARK 20x9 6x135/6x139.7 12 Chrome","Chrome","20","9","6x135/6x139.7","12","5.5","","106.1","6","2500","2500","293.25","3","0","391","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/095fa7c7-4309-4c06-b2fc-5cfee3fd73b5.png","","","","",""
"GT OFFROAD","AGGRESSION","GT82212613544GBMLR","AGGRESSION 22x12 6x135 -44 Gloss Black Milled Red","Gloss Black Milled Red","22","12","6x135","-44","4.75","","87.1","6","","2500","299.25","10","4","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/685d53e9-e2cb-40a2-9a1c-1db5ffd482f6.png","","","","",""
"GT OFFROAD","AGGRESSION","GT82010512718GBMLR","AGGRESSION 20x10 5x127 -18 Gloss Black Milled Red","Gloss Black Milled Red","20","10","5x127","-18","4.75","","87.1","0","","2500","260.25","19","0","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/685d53e9-e2cb-40a2-9a1c-1db5ffd482f6.png","","","","",""
"GT OFFROAD","CHAMBER","GT101020951121","CHAMBER 20x9 5x127/5x139.7 12 Matte Bronze Centre / Black Lip","Matte Bronze Centre / Black Lip","20","9","5x127/5x139.7","12","5.5","","78.1","0","","2500","247.5","43","0","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/6ba15f60-bbae-4717-a814-4bd822651eb5.png","","","","",""
"GT OFFROAD","INVASION","GT72096139712GBMLR","INVASION 20x9 6x139.7 12 Gloss Black Milled Red","Gloss Black Milled Red","20","9","6x139.7","12","5.5","","106.1","6","","2500","247.5","28","4","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/97f60c11-1536-42db-b3d7-55133c9b37d5.png","","","","",""
